Year,Country,Launch Count
1957,Kazakhstan,2
1958,USA,17
1959,USA,16
1960,USA,30
1961,USA,43
1962,USA,59
1963,Kazakhstan,16
1964,Kazakhstan,26
1965,Kazakhstan,43
1966,USA,47
1967,Kazakhstan,38
1968,Russia,39
1969,Russia,45
1970,Russia,102
1971,Russia,59
1972,Russia,57
1973,Russia,65
1974,Russia,60
1975,Russia,66
1976,Russia,65
1977,Russia,68
1978,Russia,60
1979,Russia,30
1980,Russia,33
1981,Russia,36
1982,Russia,43
1983,Russia,39
1984,Russia,36
1985,Russia,38
1986,Russia,41
1987,Russia,28
1988,Russia,25
1989,Russia,20
1990,Russia,28
1991,Russia,24
1992,USA,27
1993,USA,24
1994,USA,26
1995,USA,30
1996,USA,33
1997,USA,36
1998,USA,36
1999,USA,31
2000,USA,28
2001,USA,22
2002,USA,17
2003,USA,23
2004,USA,16
2005,USA,12
2006,USA,18
2007,USA,19
2008,USA,15
2009,USA,25
2010,USA,15
2011,USA,18
2012,USA,13
2013,USA,19
2014,USA,23
2015,USA,19
2016,USA,25
2017,USA,29
2018,China,39
2019,China,33
2020,China,22
